id,developerId,treatmentAssignment,status,priorExperience,estimatedTimeWithAI,estimatedTimeWithoutAI,createdAt,lastModified,initialImplementationTime,postReviewImplementationTime,estimatedTimeOtherTreatment,perceivedEffort,isPanelDeveloper
47a33fef-793f-429c-98e7-f778bbcc52d5,54,AI-disallowed,complete,4.0,50.0,50.0,2025-08-12,2025-08-13,77.0,30.0,90.0,3.0,True
25e419a1-4ceb-4111-98d6-14e9f24d3d72,38,AI-allowed,incomplete,2.0,60.0,70.0,2025-08-12,2025-08-12,24.0,,,,True
640fda7c-2b07-4fc3-85f6-b1e347247ba6,3,AI-disallowed,complete,4.0,60.0,60.0,2025-08-12,2025-08-20,188.0,0.0,160.0,2.0,True
10df330a-d84c-41d2-8557-b311e54fc289,12,AI-allowed,complete,3.0,330.0,300.0,2025-08-13,2025-11-12,648.0,0.0,500.0,4.0,True
edd974a5-04b7-4c7c-994b-51d78eef79de,54,AI-allowed,incomplete,5.0,20.0,20.0,2025-08-13,2025-08-13,25.0,,,4.0,True
a3834e9a-7872-46f7-99af-25433800e6c3,54,AI-allowed,complete,3.0,100.0,115.0,2025-08-15,2025-09-22,79.0,7.0,88.0,4.0,True
6649390c-9acf-4d5a-8591-c7ffd68ed48e,54,AI-allowed,complete,4.0,25.0,25.0,2025-08-15,2025-08-20,25.0,3.0,31.0,2.0,True
4d2c8787-2535-4fb2-bb04-e114b4448380,54,AI-allowed,complete,5.0,20.0,20.0,2025-08-20,2025-09-13,50.0,40.0,90.0,4.0,True
705a1ea5-c23b-4bc4-9f89-ac064dbff3ad,3,AI-allowed,incomplete,2.0,60.0,55.0,2025-08-20,2025-08-20,,,,,True
c0fe3f07-b9a4-411c-ac9c-1d5c5f4c07ed,15,AI-allowed,complete,4.0,15.0,25.0,2025-08-22,2025-08-22,23.0,8.0,25.0,2.0,True
3cd40bb0-8492-40d8-a5f2-c1501d1c0ddf,15,AI-disallowed,complete,3.0,20.0,20.0,2025-08-22,2025-08-25,13.0,0.0,12.0,2.0,True
32c8ac27-fd15-4a36-a7f0-37aaddcf68e9,15,AI-disallowed,complete,5.0,10.0,15.0,2025-08-25,2025-08-27,12.0,0.0,12.0,1.0,True
4d972dd6-1e1b-44e8-a074-abb6c0c9b841,38,AI-allowed,incomplete,1.0,120.0,150.0,2025-08-26,2025-08-26,42.0,,,,True
4d0db5ae-47e4-4610-9781-ffb36f81e1b8,15,AI-allowed,complete,3.0,90.0,120.0,2025-08-26,2025-08-27,88.0,15.0,130.0,3.0,True
da4f7f51-508f-460e-a0bc-041ea157e2f6,54,AI-allowed,complete,4.0,30.0,35.0,2025-08-27,2025-09-13,24.0,0.0,60.0,3.0,True
d9bae991-7113-4bb1-884a-fd6541f3a447,15,AI-allowed,complete,4.0,20.0,40.0,2025-08-27,2025-08-27,90.0,0.0,70.0,1.0,True
